name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,zipcode,2020_Number_of_Units,2020_Occupied_Units,2020_Vacant_Units,2020_Median_Rooms,2020_Median_Value,2020_Median_Monthly Costs,2020_Median_Rent,2020_Owner_Occupied_Units,2015_Number_of_Units,2015_Occupied_Units,2015_Vacant_Units,2015_Median_Rooms,2015_Median_Value,2015_Median_Monthly Costs,2015_Median_Rent,2015_Owner_Occupied_Units,2020_Median_Household_Income,2020_Median_Family_Income,2015_Median_Household_Income,2015_Median_Family_Income
Light House: Bedroom 2,205251265,Omo,,Hilltop,39.91147,-83.07748,Private room,42,2,45,2022-09-18,1.44,2,76,27,2020-1241,43123,"26,409","25,432",977,6.2,"183,400","1,483","1,075","18,881","25,373","23,044","2,329",6.1,"148,600","1,452",891,"16,441","75,644","92,048","63,567","73,428"
Housepitality ~ The Shiny Beaux Chateau (NEW!),26958698,Benjamin,,Franklinton,39.96064,-83.02295,Entire home/apt,153,1,51,2022-09-05,1.7,107,335,28,2021-3309,43222,"2,249","1,956",293,5.0,"68,300","1,540",554,401,"1,838","1,307",531,5.7,"54,200",774,719,442,"14,455",-,"21,083","21,215"
"Campus Charm ♦️ Roku TV, Walk to High St Eats!",325932974,Evan,,Near North/University,39.99875,-83.00676,Entire home/apt,82,1,101,2022-09-04,3.22,34,57,43,2022-2156,43201,"15,281","13,106","2,175",4.4,"258,900","1,747","1,094","2,215","15,115","11,508","3,607",4.6,"203,700","1,554",858,"2,080","34,884","47,014","25,322","51,458"
"Heart of OSU Studio ✨ FreeParking, Walk to High St",325932974,Evan,,Near North/University,39.99711,-83.00516,Entire home/apt,65,1,68,2022-08-30,2.17,34,77,38,2020-1193,43201,"15,281","13,106","2,175",4.4,"258,900","1,747","1,094","2,215","15,115","11,508","3,607",4.6,"203,700","1,554",858,"2,080","34,884","47,014","25,322","51,458"
High Street OSU Retreat 🌿💛 by Starbucks & Campus,325932974,Evan,,Near North/University,39.99937,-83.0055,Entire home/apt,85,1,140,2022-09-11,4.51,34,62,76,2022-2157,43201,"15,281","13,106","2,175",4.4,"258,900","1,747","1,094","2,215","15,115","11,508","3,607",4.6,"203,700","1,554",858,"2,080","34,884","47,014","25,322","51,458"
Easy Parking ♥ Heart of Ohio State Walk to High St,325932974,Evan,,Near North/University,39.99818,-83.00469,Entire home/apt,83,1,185,2022-09-14,5.89,34,34,80,2020-1189,43201,"15,281","13,106","2,175",4.4,"258,900","1,747","1,094","2,215","15,115","11,508","3,607",4.6,"203,700","1,554",858,"2,080","34,884","47,014","25,322","51,458"
The Barn Door Loft—DOWNTOWN/ARENA/CONV CENTER,116400313,Nate,,Downtown,39.964275,-82.99778,Entire home/apt,118,30,6,2022-07-29,0.19,25,133,2,2019-1915,43215,"10,791","9,609","1,182",3.3,"324,000","1,975","1,215","1,891","9,281","8,170","1,111",3.3,"254,700","1,975",920,"1,728","64,368","92,708","52,178","125,239"
"Ohio State Studio ✯ Free Parking, Steps to High St",325932974,Evan,,Near North/University,39.99781,-83.00544,Entire home/apt,78,1,66,2022-08-20,2.1,34,85,20,2022-2181,43201,"15,281","13,106","2,175",4.4,"258,900","1,747","1,094","2,215","15,115","11,508","3,607",4.6,"203,700","1,554",858,"2,080","34,884","47,014","25,322","51,458"
Kitchen / Parking / Wifi ✸ Walk to High St Studio,325932974,Evan,,Near North/University,39.99692,-83.00494,Entire home/apt,78,1,47,2022-08-13,1.5,34,60,17,2020-1198,43201,"15,281","13,106","2,175",4.4,"258,900","1,747","1,094","2,215","15,115","11,508","3,607",4.6,"203,700","1,554",858,"2,080","34,884","47,014","25,322","51,458"
Olde Towne Champion 2 Bedroom Townhouse,4114228,David,,Near East,39.96411,-82.96901,Entire home/apt,104,2,29,2022-09-04,0.92,1,30,12,2020-1248,43205,"7,366","5,510","1,856",5.6,"211,600","1,492",755,"1,949","7,271","5,205","2,066",5.7,"102,800","1,120",690,"1,791","40,559","44,420","30,491","32,843"
Clintonville Community Home,26958698,Benjamin,,Clintonville,40.03959,-83.01355,Entire home/apt,311,1,51,2022-09-05,1.64,107,273,24,2021-3294,43214,"13,806","12,682","1,124",5.6,"285,800","1,730",998,"8,097","13,162","12,323",839,5.8,"211,200","1,575",823,"7,878","76,831","101,544","65,288","92,175"
GermanVillage_Private Parking Children'sHospital D,249951812,Jessie,,Near South,39.94912,-82.98491,Entire home/apt,100,1,128,2022-09-13,4.11,19,105,51,2021-3107,43206,"12,274","10,435","1,839",5.4,"197,400","1,441",994,"5,060","12,275","9,783","2,492",5.5,"97,100","1,214",854,"4,491","59,082","63,346","43,810","44,618"
Old Town East 1 bed sleeps 4 pet friendly Forest A,174256511,Nicholas,,Near South,39.94709,-82.97072,Entire home/apt,81,2,61,2022-09-04,1.97,32,358,18,2022-2847,43206,"12,274","10,435","1,839",5.4,"197,400","1,441",994,"5,060","12,275","9,783","2,492",5.5,"97,100","1,214",854,"4,491","59,082","63,346","43,810","44,618"
Private Southern Orchards Carriage House,257425301,Aaron,,Near South,39.94407,-82.97287,Entire home/apt,140,2,68,2022-09-11,2.21,1,81,22,2020-1260,43205,"7,366","5,510","1,856",5.6,"211,600","1,492",755,"1,949","7,271","5,205","2,066",5.7,"102,800","1,120",690,"1,791","40,559","44,420","30,491","32,843"
GermanVillage_Private Parking Children'sHospital C,249951812,Jessie,,Near South,39.94771,-82.98381,Entire home/apt,99,1,104,2022-09-11,3.39,19,108,34,2021-3106,43206,"12,274","10,435","1,839",5.4,"197,400","1,441",994,"5,060","12,275","9,783","2,492",5.5,"97,100","1,214",854,"4,491","59,082","63,346","43,810","44,618"
German Village Pied à Terre,483306,Audra & Lacey,,Near South,39.94372,-82.98988,Entire home/apt,220,1,244,2022-09-17,7.96,3,98,111,2022-2486,43206,"12,274","10,435","1,839",5.4,"197,400","1,441",994,"5,060","12,275","9,783","2,492",5.5,"97,100","1,214",854,"4,491","59,082","63,346","43,810","44,618"
Housepitality ~ The Peacock House,26958698,Benjamin,,North Linden,40.04125,-82.97399,Entire home/apt,145,30,16,2022-08-17,0.56,107,365,5,2020-1056,43224,"18,950","17,585","1,365",5.0,"103,200",983,827,"8,324","18,876","16,274","2,602",5.0,"86,500",993,678,"7,866","39,038","45,010","33,487","39,337"
Hammock's By the Airport Private Suite,337918541,Darryl & Wendy,,Eastmoor/Walnut Ridge,39.95953,-82.86892,Private room,69,1,25,2022-09-10,0.91,4,168,10,,43213,"15,451","14,163","1,288",4.8,"125,600","1,135",872,"5,289","15,665","13,916","1,749",4.8,"97,700","1,112",771,"4,688","43,989","52,344","34,610","37,801"
Hammock's By the Airport Large Family Getaway,337918541,Darryl & Wendy,,Eastmoor/Walnut Ridge,39.95727,-82.87087,Private room,107,1,30,2022-09-18,1.13,4,138,9,,43213,"15,451","14,163","1,288",4.8,"125,600","1,135",872,"5,289","15,665","13,916","1,749",4.8,"97,700","1,112",771,"4,688","43,989","52,344","34,610","37,801"
4Bd Close to Quarterhorse/ OSU / Glen Echo,30606435,Katie,,Near North/University,40.0185,-83.00243,Entire home/apt,177,2,92,2022-08-28,3,1,149,40,2020-1239,43202,"9,725","8,889",836,4.9,"246,800","1,613",976,"2,712","10,551","9,707",844,5.1,"176,800","1,449",851,"3,205","56,332","80,461","45,152","72,263"
Modern Ranch Living - The Guston Place,188365764,Ronnie,,Rocky Fork-Blacklick,40.06137,-82.86748,Entire home/apt,120,30,10,2022-05-18,0.34,2,331,6,,43230,"25,484","24,546",938,5.8,"204,000","1,542","1,140","14,855","22,879","22,120",759,6.1,"169,200","1,497",985,"14,496","75,960","95,989","70,618","87,964"
"Newly Renovated Near Franklin Park, DT & Capital U",256055700,Jake,,Near East,39.96144,-82.95467,Entire home/apt,121,2,90,2022-09-15,3.09,1,4,25,2020-1321,43205,"7,366","5,510","1,856",5.6,"211,600","1,492",755,"1,949","7,271","5,205","2,066",5.7,"102,800","1,120",690,"1,791","40,559","44,420","30,491","32,843"
Beautiful 4 bedroom 2 1/2 bathroom with fireplace,224927788,Darishata,,Far East,40.01001,-82.77505,Entire home/apt,451,1,0,,,1,364,0,,43073,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Quiet room to lay your head.,341743242,Brian,,Southeast,39.86554,-82.87029,Private room,75,2,0,,,1,85,0,,43125,"6,104","5,948",156,5.3,"167,600","1,416",971,"3,309","5,947","5,403",544,5.7,"128,800","1,319",843,"3,362","68,103","84,047","60,275","65,542"
Castle - Loving Castle - Elegant  2 BR Victorian,342137119,Matthew And Annette,,Downtown,39.96102,-82.98534,Entire home/apt,150,30,1,2022-05-15,0.23,1,301,1,,43216,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Big Bird's Nest,215726213,Alan,,Northeast,40.04492,-82.89634,Entire home/apt,67,2,72,2022-09-19,3.19,1,40,40,2020-2084,43230,"25,484","24,546",938,5.8,"204,000","1,542","1,140","14,855","22,879","22,120",759,6.1,"169,200","1,497",985,"14,496","75,960","95,989","70,618","87,964"
LUXURY 1BR APARTMENT NEAR HEART OF COLUMBUS,158439641,GH Hospitality,,Downtown,39.95733,-82.99515,Entire home/apt,115,2,65,2022-09-11,2.19,52,361,30,2021-2815,43216,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
GORGEOUS 1BR APARTMENT I GYM + FREE PARK,158439641,GH Hospitality,,Downtown,39.95668,-82.99512,Entire home/apt,111,2,76,2022-09-16,2.61,52,331,34,2021-2812,43215,"10,791","9,609","1,182",3.3,"324,000","1,975","1,215","1,891","9,281","8,170","1,111",3.3,"254,700","1,975",920,"1,728","64,368","92,708","52,178","125,239"
BEAUTIFUL ONE BEDROOM APARTMENT IN THE HEART OF CO,158439641,GH Hospitality,,Downtown,39.95678,-82.99315,Entire home/apt,100,2,75,2022-09-08,2.52,52,336,36,2021-2813,43216,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
LOVELY 1BR APARTMENT IN HEART OF COL + FREE PARK,158439641,GH Hospitality,,Downtown,39.95706,-82.99516,Entire home/apt,103,1,78,2022-09-05,2.65,52,354,34,2021-2814,43215,"10,791","9,609","1,182",3.3,"324,000","1,975","1,215","1,891","9,281","8,170","1,111",3.3,"254,700","1,975",920,"1,728","64,368","92,708","52,178","125,239"
HIGH END 1BR APTMENT I BEAUTIFUL VIEW OF COLAR,158439641,GH Hospitality,,Downtown,39.9559,-82.99448,Entire home/apt,102,1,80,2022-09-11,2.69,52,359,20,2020-1016,43215,"10,791","9,609","1,182",3.3,"324,000","1,975","1,215","1,891","9,281","8,170","1,111",3.3,"254,700","1,975",920,"1,728","64,368","92,708","52,178","125,239"
MODERN ONE BEDROOM APT WITH GYM & FREE PARKING,158439641,GH Hospitality,,Downtown,39.95745,-82.99505,Entire home/apt,103,1,77,2022-09-02,2.61,52,349,39,2020-1016,43215,"10,791","9,609","1,182",3.3,"324,000","1,975","1,215","1,891","9,281","8,170","1,111",3.3,"254,700","1,975",920,"1,728","64,368","92,708","52,178","125,239"
The Cellar - Fully Renovated Unit in Clintonville,226592539,Nesip,,Clintonville,40.034374,-83.009888,Entire home/apt,72,2,54,2022-09-09,2.21,1,0,27,2021-2764,43214,"13,806","12,682","1,124",5.6,"285,800","1,730",998,"8,097","13,162","12,323",839,5.8,"211,200","1,575",823,"7,878","76,831","101,544","65,288","92,175"
BRAND NEW HUGE LUXURY HOME W/ TERRACE! MUST SEE!,107290958,Joel,,Near North/University,39.98631,-83.00093,Entire home/apt,390,2,80,2022-09-13,2.68,6,317,39,2020-2075,43201,"15,281","13,106","2,175",4.4,"258,900","1,747","1,094","2,215","15,115","11,508","3,607",4.6,"203,700","1,554",858,"2,080","34,884","47,014","25,322","51,458"
HUGE NEW LUXE HOME W/ TERRACE! BEST AIRBNB IN CBUS,107290958,Joel,,Near North/University,39.98537,-82.99953,Entire home/apt,392,2,66,2022-09-04,2.21,6,314,47,2020-2076,43201,"15,281","13,106","2,175",4.4,"258,900","1,747","1,094","2,215","15,115","11,508","3,607",4.6,"203,700","1,554",858,"2,080","34,884","47,014","25,322","51,458"
Schumacher Place/German Village TownHome,29996491,Elaine,,Near South,39.9488,-82.98535,Entire home/apt,121,1,295,2022-09-01,10.64,2,71,139,2019-1470,43206,"12,274","10,435","1,839",5.4,"197,400","1,441",994,"5,060","12,275","9,783","2,492",5.5,"97,100","1,214",854,"4,491","59,082","63,346","43,810","44,618"
Private Parking - Jungle Fever | Downtown | Short North | Near Nationwide & Convention Center,109117484,Sergio,,Near North/University,39.97619,-83.00987,Entire home/apt,160,1,299,2022-09-19,10.87,10,354,131,2021-2511,43215,"10,791","9,609","1,182",3.3,"324,000","1,975","1,215","1,891","9,281","8,170","1,111",3.3,"254,700","1,975",920,"1,728","64,368","92,708","52,178","125,239"
"Modern New Luxe Townhome in Short North, BEST Location",261649006,Alex,,Near North/University,39.9867,-83.00153,Entire home/apt,559,1,112,2022-09-18,3.95,10,341,26,2022-1798,43201,"15,281","13,106","2,175",4.4,"258,900","1,747","1,094","2,215","15,115","11,508","3,607",4.6,"203,700","1,554",858,"2,080","34,884","47,014","25,322","51,458"
"Quaint, Welcoming Townhouse with Private Patio",94337607,Alezah,,Far North,40.11654,-82.92667,Entire home/apt,108,1,109,2022-09-18,3.84,9,337,63,,43081,"27,357","25,850","1,507",5.9,"218,200","1,599","1,161","16,565","24,515","23,195","1,320",5.9,"176,600","1,552",994,"14,504","83,296","96,364","72,250","88,824"
❤Cozy and quiet 3BD ❤Pet Friendly,347298524,Luluhomes,,Northland,40.09575,-83.00422,Entire home/apt,107,21,17,2021-09-12,0.6,2,90,0,,43085,"10,514","10,115",399,6.4,"274,300","1,794","1,150","7,236","10,504","10,211",293,6.4,"220,200","1,607","1,009","7,376","93,953","114,258","76,190","95,938"
Long Term Three Bedroom Perfect for Travel Nurses,347660271,Breezeway Homes,,Hilltop,39.96047,-83.07179,Entire home/apt,90,30,5,2022-06-16,0.19,3,276,3,,43204,"19,186","17,220","1,966",5.4,"117,300","1,102",935,"8,651","19,255","15,560","3,695",5.5,"98,300","1,087",855,"7,550","48,770","55,405","40,729","45,090"
Free Cancellation - The King's Loft w/Balcony + Desk + Washer/Dryer,27280979,Jesse,,Far North,40.14165,-82.95416,Entire home/apt,99,28,3,2022-06-01,0.11,37,365,1,,43240,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Frontdesk | Chic 1BR Apt Near the Park,253828606,Frontdesk,,Downtown,39.95714,-83.0004,Entire home/apt,115,1,139,2022-09-10,5.69,13,49,75,2020-1341,43215,"10,791","9,609","1,182",3.3,"324,000","1,975","1,215","1,891","9,281","8,170","1,111",3.3,"254,700","1,975",920,"1,728","64,368","92,708","52,178","125,239"
Rest and Recharge 3,143950108,William,,South Linden,39.98793,-82.9431,Private room,40,30,0,,,4,0,0,,43219,"12,739","11,479","1,260",5.2,"114,500","1,214",960,"5,158","12,401","10,867","1,534",5.1,"82,800","1,062",795,"4,936","40,172","48,690","33,473","40,010"
Rest a while 2.,143950108,William,,South Linden,39.98977,-82.9431,Private room,45,30,0,,,4,0,0,,43219,"12,739","11,479","1,260",5.2,"114,500","1,214",960,"5,158","12,401","10,867","1,534",5.1,"82,800","1,062",795,"4,936","40,172","48,690","33,473","40,010"
Cozy Room 4,143950108,William,,South Linden,39.98943,-82.94322,Private room,45,30,3,2022-04-02,0.2,4,150,1,,43219,"12,739","11,479","1,260",5.2,"114,500","1,214",960,"5,158","12,401","10,867","1,534",5.1,"82,800","1,062",795,"4,936","40,172","48,690","33,473","40,010"
Industrial Flat - EJ Thomas Factory - Short North,194281106,Nicole,,Near North/University,39.984802,-83.000122,Entire home/apt,108,1,192,2022-09-18,7.06,23,253,98,2021-3041,43201,"15,281","13,106","2,175",4.4,"258,900","1,747","1,094","2,215","15,115","11,508","3,607",4.6,"203,700","1,554",858,"2,080","34,884","47,014","25,322","51,458"
"Walk to Campus Studio ✰ High St, Free Parking",325932974,Evan,,Near North/University,39.99681,-83.00525,Entire home/apt,65,1,49,2022-09-16,1.88,34,147,29,2022-2184,43201,"15,281","13,106","2,175",4.4,"258,900","1,747","1,094","2,215","15,115","11,508","3,607",4.6,"203,700","1,554",858,"2,080","34,884","47,014","25,322","51,458"
Rustic/Modern Downtown Oasis,350643473,Nicole,,Near East,39.96921,-82.97493,Entire home/apt,202,1,233,2022-09-19,9.02,1,283,95,2021-2523,43203,"4,894","3,758","1,136",5.2,"188,900","1,149",744,"1,224","4,912","3,429","1,483",5.0,"86,400","1,200",623,822,"36,418","35,137","20,904","20,208"
Garden Level Apartment | Tons of Entertaining Amenities,8963103,Sarah,,Near North/University,39.97885,-83.01064,Entire home/apt,184,2,123,2022-09-04,4.7,33,69,72,2021-2732,43215,"10,791","9,609","1,182",3.3,"324,000","1,975","1,215","1,891","9,281","8,170","1,111",3.3,"254,700","1,975",920,"1,728","64,368","92,708","52,178","125,239"
The Victorian Greenhouse 🌿 King Bd/Prvate Parking,325932974,Evan,,Near North/University,39.98223,-83.00699,Entire home/apt,111,1,198,2022-09-10,7.34,34,81,85,2019-2091,43201,"15,281","13,106","2,175",4.4,"258,900","1,747","1,094","2,215","15,115","11,508","3,607",4.6,"203,700","1,554",858,"2,080","34,884","47,014","25,322","51,458"
Bohemian Flat - Short North - Free Parking,194281106,Nicole,,Near North/University,39.980816,-82.998802,Entire home/apt,98,1,148,2022-09-18,5.5,23,203,76,2021-3042,43201,"15,281","13,106","2,175",4.4,"258,900","1,747","1,094","2,215","15,115","11,508","3,607",4.6,"203,700","1,554",858,"2,080","34,884","47,014","25,322","51,458"
✨Travelers Paradise!✨-Central Downtown/Ohio State,44467878,Joe,,West Olentangy,39.989819,-83.042885,Entire home/apt,76,1,21,2022-09-19,10.16,4,129,21,2021-3621,43212,"12,485","11,712",773,4.4,"381,300","2,205","1,151","3,950","11,156","9,693","1,463",4.5,"269,500","1,879",861,"3,749","66,326","144,167","58,080","104,098"
$500 off Price reflects discount,214007946,Marlan,,Near North/University,40.0051,-83.00929,Entire home/apt,80,30,0,,,1,0,0,,43210,402,192,210,2.8,-,-,623,0,387,279,108,3.2,-,-,599,0,"19,107","32,292","16,326","21,750"
Italian Village- Short North Home- private parking,135685330,Jessica,,Near North/University,39.98246,-82.99725,Entire home/apt,234,3,91,2022-09-11,3.38,2,114,24,2021-2384,43201,"15,281","13,106","2,175",4.4,"258,900","1,747","1,094","2,215","15,115","11,508","3,607",4.6,"203,700","1,554",858,"2,080","34,884","47,014","25,322","51,458"
✦ Bexley Breeze Getaway ✦ King Bed,304922101,Ado,,Eastmoor/Walnut Ridge,39.95026,-82.93797,Entire home/apt,222,3,40,2022-09-05,1.58,3,142,15,,43209,"12,965","11,990",975,5.8,"284,300","1,780",885,"6,785","12,594","11,566","1,028",5.7,"206,000","1,594",790,"6,527","69,290","102,500","53,134","88,976"
Downtown Columbus home - Close to everything!,352794556,Chanel,,Near East,39.96005,-82.97577,Entire home/apt,106,30,7,2022-06-30,0.29,2,290,2,,43205,"7,366","5,510","1,856",5.6,"211,600","1,492",755,"1,949","7,271","5,205","2,066",5.7,"102,800","1,120",690,"1,791","40,559","44,420","30,491","32,843"
Entire Residential House:  Newly Updated,113737890,Ron,,Near North/University,39.99279,-82.99548,Entire home/apt,186,2,19,2022-09-18,3.58,1,338,19,2022-4237,43201,"15,281","13,106","2,175",4.4,"258,900","1,747","1,094","2,215","15,115","11,508","3,607",4.6,"203,700","1,554",858,"2,080","34,884","47,014","25,322","51,458"
Housepitality~ The Columbus A-List House,26958698,Benjamin,,Franklinton,39.95865,-83.02723,Entire home/apt,211,1,55,2022-09-10,2.07,107,24,21,2022-2531,43222,"2,249","1,956",293,5.0,"68,300","1,540",554,401,"1,838","1,307",531,5.7,"54,200",774,719,442,"14,455",-,"21,083","21,215"
Uptown Westerville - Otterbein University,19840261,Mouki,,Far North,40.12753,-82.93793,Entire home/apt,198,3,77,2022-09-04,3.77,1,294,44,,43081,"27,357","25,850","1,507",5.9,"218,200","1,599","1,161","16,565","24,515","23,195","1,320",5.9,"176,600","1,552",994,"14,504","83,296","96,364","72,250","88,824"
Entire Home in German Village,8963103,Sarah,,Near South,39.95199,-82.99376,Entire home/apt,133,2,110,2022-09-17,4.3,33,61,52,2021-2807,43206,"12,274","10,435","1,839",5.4,"197,400","1,441",994,"5,060","12,275","9,783","2,492",5.5,"97,100","1,214",854,"4,491","59,082","63,346","43,810","44,618"
The Spacious Hilliard House,26958698,Benjamin,,West Scioto,39.9823,-83.10953,Entire home/apt,215,1,40,2022-09-03,1.52,107,358,20,2022-1341,43204,"19,186","17,220","1,966",5.4,"117,300","1,102",935,"8,651","19,255","15,560","3,695",5.5,"98,300","1,087",855,"7,550","48,770","55,405","40,729","45,090"
Spacious 2 BR 2 Bath 3 Level Townhouse,354911087,Samuel,,Rocky Fork-Blacklick,40.05659,-82.84832,Entire home/apt,106,2,83,2022-09-12,3.39,1,31,38,2020-1724,43239,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Housepitality - The Brandenburg Suite - Efficiency,26958698,Benjamin,,Downtown,39.95354,-82.99559,Entire home/apt,117,30,81,2022-09-05,3.14,107,360,26,2019-0000,43216,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
~Pet-Friendly Flat in Walkable Polaris Area - Perfect For Long Stays!~,27280979,Jesse,,Far North,40.1413,-82.95758,Entire home/apt,149,30,2,2022-01-15,0.18,37,328,2,,43240,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Cozy, modern basement 2 bedroom apartment",243881747,Su,,Clintonville,40.06229,-83.01661,Private room,106,2,74,2022-09-18,3.03,2,92,28,2020-1747,43214,"13,806","12,682","1,124",5.6,"285,800","1,730",998,"8,097","13,162","12,323",839,5.8,"211,200","1,575",823,"7,878","76,831","101,544","65,288","92,175"
Pet Friendly | Historic Neighborhood,8963103,Sarah,,Near South,39.95108,-82.99395,Entire home/apt,104,2,91,2022-09-06,4.78,33,42,62,2021-2806,43206,"12,274","10,435","1,839",5.4,"197,400","1,441",994,"5,060","12,275","9,783","2,492",5.5,"97,100","1,214",854,"4,491","59,082","63,346","43,810","44,618"
